"","years","prop.zero","prop.one","prop.two","prop.three"
"1",2001,0.422222222222222,0.511111111111111,0.0666666666666667,0
"2",2002,0.346938775510204,0.44671201814059,0.165532879818594,0.0408163265306122
"3",2003,0.377177700348432,0.458188153310105,0.142857142857143,0.0217770034843206
"4",2004,0.372236317506343,0.454512504530627,0.152591518666183,0.0206596592968467
"5",2005,0.390135853514471,0.44772593030124,0.136444181925576,0.0256940342587123
"6",2006,0.376368729309906,0.465749936338172,0.133689839572193,0.0241914947797301
"7",2007,0.411425576519916,0.430293501048218,0.134171907756813,0.0241090146750524
