year,age,gender,region,undetectable,cv401,cv1001,cv2001,cv10001,cv50000,cv100000,
2004,22 - 50,f,NORDESTE,2590,331,273,655,606,199,357,
2004,22 - 50,f,NORTE,601,106,90,248,245,97,142,
2004,22 - 50,f,SUDESTE,16979,1696,1481,4342,4163,1473,2460,
2004,22 - 50,f,SUL,5362,551,432,1225,1200,442,661,
2004,22 - 50,m,CENTRO OESTE,3761,268,204,655,768,281,385,
2004,22 - 50,m,NORDESTE,4416,537,367,980,1085,421,793,
2004,22 - 50,m,NORTE,1145,177,116,320,442,166,261,
2004,22 - 50,m,SUDESTE,28224,2154,1858,5318,5664,2326,3975,
2004,22 - 50,m,SUL,7419,569,437,1283,1386,605,1043,
2004,50 plus,f,CENTRO OESTE,343,12,19,41,42,10,14,
2004,50 plus,f,NORDESTE,309,30,25,44,55,14,33,
2004,50 plus,f,NORTE,74,11,10,23,12,2,8,
2004,50 plus,f,SUDESTE,3099,234,194,550,501,163,260,
2004,50 plus,f,SUL,879,40,39,125,131,38,61,
2004,50 plus,m,CENTRO OESTE,546,38,22,78,80,33,38,
2004,50 plus,m,NORDESTE,732,68,47,140,121,46,57,
2004,50 plus,m,NORTE,148,22,23,34,46,15,12,
2004,50 plus,m,SUDESTE,5191,289,285,794,754,254,416,
2004,50 plus,m,SUL,1322,91,51,135,150,61,100,
2005,13 - 21,f,CENTRO OESTE,62,11,11,20,22,8,4,
2005,13 - 21,f,NORDESTE,126,11,17,39,43,19,43,
2005,13 - 21,f,NORTE,43,6,4,15,17,3,9,
2005,13 - 21,f,SUDESTE,630,108,113,310,341,114,161,
2005,13 - 21,f,SUL,239,26,36,89,85,22,39,
2005,13 - 21,m,CENTRO OESTE,32,3,3,11,8,7,6,
2005,13 - 21,m,NORDESTE,77,14,5,19,32,8,26,
2005,13 - 21,m,NORTE,10,3,2,4,11,4,7,
2005,13 - 21,m,SUDESTE,432,69,64,193,230,115,168,
2005,13 - 21,m,SUL,77,9,11,50,61,23,20,
2005,22 - 50,f,CENTRO OESTE,2626,224,166,570,501,160,235,
2005,22 - 50,f,NORDESTE,4955,441,365,976,857,336,531,
2005,22 - 50,f,NORTE,998,157,114,313,246,106,128,
2005,22 - 50,f,SUDESTE,28612,2566,2070,6340,6155,2138,3276,
2005,22 - 50,f,SUL,7027,605,473,1351,1311,460,787,
2005,22 - 50,m,CENTRO OESTE,4207,260,198,615,694,223,356,
2005,22 - 50,m,NORDESTE,8345,649,468,1341,1442,618,984,
2005,22 - 50,m,NORTE,1650,251,164,421,413,184,270,
2005,22 - 50,m,SUDESTE,45835,3086,2594,7404,7943,3010,5173,
2005,22 - 50,m,SUL,9308,623,490,1432,1403,677,1111,
2005,50 plus,f,CENTRO OESTE,428,25,15,49,44,17,20,
2005,50 plus,f,NORDESTE,697,45,36,78,62,23,44,
2005,50 plus,f,NORTE,128,17,16,29,27,4,10,
2005,50 plus,f,SUDESTE,5776,415,305,799,691,219,380,
2005,50 plus,f,SUL,1350,58,44,134,127,36,78,
2005,50 plus,m,CENTRO OESTE,728,31,28,54,77,28,48,
2005,50 plus,m,NORDESTE,1523,85,70,169,162,59,85,
2005,50 plus,m,NORTE,216,33,21,45,50,19,25,
2005,50 plus,m,SUDESTE,9345,502,402,1102,1090,384,624,
2005,50 plus,m,SUL,1855,91,66,166,186,74,94,
2006,13 - 21,f,CENTRO OESTE,69,10,12,33,28,11,13,
2006,13 - 21,f,NORDESTE,144,22,19,66,49,23,29,
2006,13 - 21,f,NORTE,46,7,6,19,10,5,8,
2006,13 - 21,f,SUDESTE,770,111,119,363,362,151,168,
2006,13 - 21,f,SUL,290,24,34,83,79,31,29,
2006,13 - 21,m,CENTRO OESTE,56,9,3,5,15,4,8,
2006,13 - 21,m,NORDESTE,98,7,13,23,34,8,20,
2006,13 - 21,m,NORTE,16,3,2,2,8,6,6,
2006,13 - 21,m,SUDESTE,595,74,62,210,263,118,202,
2006,13 - 21,m,SUL,107,18,19,46,80,26,20,
2006,22 - 50,f,CENTRO OESTE,2871,186,140,476,436,161,210,
2006,22 - 50,f,NORDESTE,5491,435,359,1021,935,379,557,
2006,22 - 50,f,NORTE,1183,123,102,259,259,137,151,
2006,22 - 50,f,SUDESTE,34661,2564,2120,6194,6481,2207,3558,
2006,22 - 50,f,SUL,8776,608,511,1437,1342,471,786,
2006,22 - 50,m,CENTRO OESTE,4508,218,164,558,606,214,377,
2006,22 - 50,m,NORDESTE,9067,668,472,1316,1372,550,1059,
2006,22 - 50,m,NORTE,1785,203,161,414,347,144,278,
2006,22 - 50,m,SUDESTE,55064,3047,2449,7046,7824,3201,5443,
2006,22 - 50,m,SUL,11132,653,447,1365,1462,622,1041,
2006,50 plus,f,CENTRO OESTE,517,12,16,43,44,14,14,
2006,50 plus,f,NORDESTE,817,43,29,111,76,26,44,
2006,50 plus,f,NORTE,173,13,17,37,30,9,16,
2006,50 plus,f,SUDESTE,7647,410,319,789,792,287,365,
2006,50 plus,f,SUL,1793,86,44,149,127,50,72,
2006,50 plus,m,CENTRO OESTE,834,28,18,62,73,25,25,
2006,50 plus,m,NORDESTE,1758,103,77,198,193,78,102,
2006,50 plus,m,NORTE,277,30,20,46,38,10,16,
2006,50 plus,m,SUDESTE,12406,495,380,1192,1226,417,697,
2006,50 plus,m,SUL,2453,120,81,192,192,80,108,
2007,13 - 21,f,CENTRO OESTE,70,9,10,32,22,7,9,
2007,13 - 21,f,NORDESTE,158,16,19,69,71,16,16,
2007,13 - 21,f,NORTE,52,7,8,18,17,0,3,
2007,13 - 21,f,SUDESTE,991,136,117,399,392,119,132,
2007,13 - 21,f,SUL,414,50,40,128,119,43,26,
2007,13 - 21,m,CENTRO OESTE,59,3,3,14,22,1,6,
2007,13 - 21,m,NORDESTE,91,9,3,39,38,11,23,
2007,13 - 21,m,NORTE,26,0,4,9,9,2,5,
2007,13 - 21,m,SUDESTE,705,81,66,235,323,106,123,
2007,13 - 21,m,SUL,227,21,33,73,90,24,18,
2007,22 - 50,f,CENTRO OESTE,3187,171,134,456,444,151,174,
2007,22 - 50,f,NORDESTE,5801,372,309,1034,1016,271,396,
2007,22 - 50,f,NORTE,1465,108,70,246,257,71,107,
2007,22 - 50,f,SUDESTE,37617,2217,1899,5975,5971,1877,2439,
2007,22 - 50,f,SUL,13809,814,693,1846,1708,573,830,
2007,22 - 50,m,CENTRO OESTE,4880,197,138,494,548,200,255,
2007,22 - 50,m,NORDESTE,9537,416,320,1112,1474,497,703,
2007,22 - 50,m,NORTE,2170,113,96,294,370,124,153,
2007,22 - 50,m,SUDESTE,58011,2539,2120,6556,7497,2721,3611,
2007,22 - 50,m,SUL,16392,723,621,1812,1949,671,997,
2007,50 plus,f,CENTRO OESTE,630,19,17,48,43,12,11,
2007,50 plus,f,NORDESTE,978,30,25,88,103,28,27,
2007,50 plus,f,NORTE,237,10,12,37,29,8,9,
2007,50 plus,f,SUDESTE,9390,385,298,843,727,228,249,
2007,50 plus,f,SUL,3045,96,61,212,192,52,67,
2007,50 plus,m,CENTRO OESTE,991,38,34,64,85,17,34,
2007,50 plus,m,NORDESTE,2009,67,57,165,175,43,69,
2007,50 plus,m,NORTE,415,22,9,45,51,14,12,
2007,50 plus,m,SUDESTE,14404,518,368,1147,1159,367,500,
2007,50 plus,m,SUL,4230,136,97,259,239,89,106,
2008,13 - 21,f,CENTRO OESTE,109,14,11,20,27,7,9,
2008,13 - 21,f,NORDESTE,223,28,21,84,100,26,23,
2008,13 - 21,f,NORTE,80,9,10,28,26,3,6,
2008,13 - 21,f,SUDESTE,1358,174,143,462,529,133,133,
2008,13 - 21,f,SUL,530,70,48,159,123,38,36,
2008,13 - 21,m,CENTRO OESTE,91,5,3,13,15,3,4,
2008,13 - 21,m,NORDESTE,145,12,9,43,63,20,22,
2008,13 - 21,m,NORTE,56,9,7,14,23,4,4,
2008,13 - 21,m,SUDESTE,990,102,106,306,405,143,147,
2008,13 - 21,m,SUL,329,29,23,104,115,30,23,
2008,22 - 50,f,CENTRO OESTE,4011,167,128,422,434,123,176,
2008,22 - 50,f,NORDESTE,8625,445,370,1322,1326,393,534,
2008,22 - 50,f,NORTE,2506,136,119,334,404,128,115,
2008,22 - 50,f,SUDESTE,46135,2526,2069,6371,6452,1933,2477,
2008,22 - 50,f,SUL,16891,953,768,2133,1979,641,825,
2008,22 - 50,m,CENTRO OESTE,5897,205,138,447,601,189,290,
2008,22 - 50,m,NORDESTE,13623,498,445,1476,1858,687,878,
2008,22 - 50,m,NORTE,3576,172,128,434,526,193,247,
2008,22 - 50,m,SUDESTE,70903,2916,2295,6990,8506,2823,3575,
2008,22 - 50,m,SUL,19999,809,696,1842,2172,726,1036,
2008,50 plus,f,CENTRO OESTE,844,20,14,44,49,8,11,
2008,50 plus,f,NORDESTE,1520,49,50,124,122,41,61,
2008,50 plus,f,NORTE,412,19,22,48,35,10,18,
2008,50 plus,f,SUDESTE,12847,442,355,957,907,265,275,
2008,50 plus,f,SUL,4203,141,103,206,257,78,87,
2008,50 plus,m,CENTRO OESTE,1247,32,21,79,80,23,24,
2008,50 plus,m,NORDESTE,3092,94,76,207,257,82,106,
2008,50 plus,m,NORTE,682,23,19,64,66,28,19,
2008,50 plus,m,SUDESTE,19545,568,444,1338,1353,389,535,
2008,50 plus,m,SUL,5567,158,117,351,283,113,118,
2009,13 - 21,f,CENTRO OESTE,120,12,9,31,26,5,13,
2009,13 - 21,f,NORDESTE,299,29,24,106,110,31,26,
2009,13 - 21,f,NORTE,96,12,8,29,37,4,8,
2009,13 - 21,f,SUDESTE,1742,168,183,497,437,151,142,
2009,13 - 21,f,SUL,674,69,81,188,143,31,38,
2009,13 - 21,m,CENTRO OESTE,94,5,9,11,21,7,10,
2009,13 - 21,m,NORDESTE,187,22,12,58,56,16,26,
2009,13 - 21,m,NORTE,85,10,3,20,24,4,6,
2009,13 - 21,m,SUDESTE,1312,104,98,357,357,105,129,
2009,13 - 21,m,SUL,467,48,41,106,137,29,37,
2009,22 - 50,f,CENTRO OESTE,4683,214,174,480,442,162,217,
2009,22 - 50,f,NORDESTE,10451,502,465,1465,1334,438,564,
2009,22 - 50,f,NORTE,3107,169,146,456,403,109,160,
2009,22 - 50,f,SUDESTE,49473,2376,1905,6092,5834,1711,2318,
2009,22 - 50,f,SUL,19655,994,849,2209,1966,644,830,
2009,22 - 50,m,CENTRO OESTE,6916,213,176,506,629,202,278,
2009,22 - 50,m,NORDESTE,16018,566,479,1534,1966,661,920,
2009,22 - 50,m,NORTE,4441,172,147,482,559,194,256,
2009,22 - 50,m,SUDESTE,76040,2748,2129,6507,7378,2448,3401,
2009,22 - 50,m,SUL,22531,852,698,1923,2025,716,1020,
2009,50 plus,f,CENTRO OESTE,1057,30,18,53,60,23,17,
2009,50 plus,f,NORDESTE,2062,69,60,152,145,44,51,
2009,50 plus,f,NORTE,552,19,17,46,47,16,15,
2009,50 plus,f,SUDESTE,15239,436,382,962,852,243,281,
2009,50 plus,f,SUL,5385,161,100,286,284,73,99,
2009,50 plus,m,CENTRO OESTE,1636,53,35,81,87,29,43,
2009,50 plus,m,NORDESTE,4036,117,82,245,240,70,135,
2009,50 plus,m,NORTE,864,35,23,70,71,17,34,
2009,50 plus,m,SUDESTE,23070,572,479,1221,1143,359,453,
2009,50 plus,m,SUL,6970,172,137,369,290,89,147,
2010,13 - 21,f,CENTRO OESTE,139,17,13,29,30,7,10,
2010,13 - 21,f,NORDESTE,304,33,24,116,98,32,30,
2010,13 - 21,f,NORTE,100,11,14,40,35,8,8,
2010,13 - 21,f,SUDESTE,2053,177,169,556,437,137,115,
2010,13 - 21,f,SUL,850,87,92,231,137,45,41,
2010,13 - 21,m,CENTRO OESTE,123,5,12,26,24,10,19,
2010,13 - 21,m,NORDESTE,262,21,11,60,68,24,30,
2010,13 - 21,m,NORTE,104,8,9,32,37,6,13,
2010,13 - 21,m,SUDESTE,1659,109,129,424,397,105,154,
2010,13 - 21,m,SUL,620,50,55,133,142,34,22,
2010,22 - 50,f,CENTRO OESTE,4748,158,150,418,420,141,228,
2010,22 - 50,f,NORDESTE,11389,561,428,1445,1483,449,627,
2010,22 - 50,f,NORTE,3371,172,154,485,487,151,196,
2010,22 - 50,f,SUDESTE,51011,2322,1966,5641,5470,1663,2265,
2010,22 - 50,f,SUL,20545,966,877,2330,1961,601,868,
2010,22 - 50,m,CENTRO OESTE,7077,198,150,455,533,188,282,
2010,22 - 50,m,NORDESTE,17122,604,504,1496,1809,698,956,
2010,22 - 50,m,NORTE,4681,191,156,526,589,202,296,
2010,22 - 50,m,SUDESTE,78932,2625,2028,6105,6933,2386,3124,
2010,22 - 50,m,SUL,23881,827,601,1818,2080,703,1066,
2010,50 plus,f,CENTRO OESTE,1206,26,19,59,70,18,24,
2010,50 plus,f,NORDESTE,2429,81,73,186,162,54,55,
2010,50 plus,f,NORTE,676,14,21,43,57,19,14,
2010,50 plus,f,SUDESTE,17395,451,405,1044,867,272,332,
2010,50 plus,f,SUL,6244,168,136,290,291,91,106,
2010,50 plus,m,CENTRO OESTE,1766,31,30,81,75,22,45,
2010,50 plus,m,NORDESTE,4561,135,85,232,252,71,118,
2010,50 plus,m,NORTE,991,29,26,80,71,24,41,
2010,50 plus,m,SUDESTE,26314,655,506,1227,1181,374,441,
2010,50 plus,m,SUL,8064,190,122,317,323,87,156,
2011,13 - 21,f,CENTRO OESTE,167,16,19,50,32,6,15,
2011,13 - 21,f,NORDESTE,378,42,55,122,98,30,32,
2011,13 - 21,f,NORTE,147,24,18,60,52,10,13,
2011,13 - 21,f,SUDESTE,2342,253,205,575,474,118,128,
2011,13 - 21,f,SUL,965,97,68,255,160,19,30,
2011,13 - 21,m,CENTRO OESTE,143,7,10,36,31,10,13,
2011,13 - 21,m,NORDESTE,298,21,20,102,110,31,33,
2011,13 - 21,m,NORTE,124,6,13,62,70,17,14,
2011,13 - 21,m,SUDESTE,1990,156,121,460,461,103,106,
2011,13 - 21,m,SUL,774,62,51,162,140,27,27,
2011,22 - 50,f,CENTRO OESTE,5238,182,177,441,474,136,169,
2011,22 - 50,f,NORDESTE,12470,638,551,1687,1531,471,573,
2011,22 - 50,f,NORTE,4161,200,206,627,590,197,195,
2011,22 - 50,f,SUDESTE,52230,2260,1938,6022,5359,1465,1791,
2011,22 - 50,f,SUL,22605,1010,888,2345,2017,520,753,
2011,22 - 50,m,CENTRO OESTE,7680,211,156,520,575,181,233,
2011,22 - 50,m,NORDESTE,18114,745,555,1723,2086,663,968,
